round,consumption_good_mean,consumption_good_ttl,HH__mean,HH__ttl
0,1.0,2,1.0,2
1,1.0,2,2.0,4
2,1.0,2,3.0,6
3,1.0,2,4.0,8
4,1.0,2,5.0,10
5,1.0,2,6.0,12
6,1.0,2,7.0,14
7,1.0,2,8.0,16
8,1.0,2,9.0,18
9,1.0,2,10.0,20
