index,consumption_good,round,name
279,1,2,firm3
280,3,2,firm34
281,5,2,firm65
282,5,2,firm96
283,5,2,firm29
284,2,2,firm60
285,5,2,firm83
286,3,2,firm8
287,5,2,firm47
288,5,2,firm78
289,5,2,firm26
290,3,2,firm57
291,1,2,firm88
292,1,2,firm21
293,3,2,firm52
294,3,2,firm75
295,1,2,firm0
296,5,2,firm39
297,5,2,firm70
298,5,2,firm18
299,5,2,firm49
300,0,2,firm80
301,2,3,firm13
302,6,3,firm44
303,4,3,firm67
304,2,3,firm98
305,6,3,firm31
306,6,3,firm62
307,4,3,firm93
308,6,3,firm10
309,4,3,firm41
310,4,3,firm72
311,2,3,firm5
312,6,3,firm36
313,6,3,firm59
314,4,3,firm90
315,6,3,firm23
316,4,3,firm54
317,4,3,firm85
318,3,3,firm2
319,2,3,firm33
320,6,3,firm64
321,2,3,firm28
322,4,3,firm51
323,2,3,firm82
324,4,3,firm15
325,6,3,firm46
326,2,3,firm77
327,6,3,firm25
328,4,3,firm56
329,2,3,firm95
330,6,3,firm20
331,3,3,firm43
332,4,3,firm74
333,6,3,firm7
334,4,3,firm38
335,6,3,firm69
336,6,3,firm17
337,6,3,firm48
338,6,3,firm87
339,2,3,firm12
340,6,3,firm35
341,4,3,firm66
342,6,3,firm97
343,2,3,firm30
344,0,3,firm61
345,4,3,firm92
346,4,3,firm9
347,3,3,firm40
348,6,3,firm79
349,6,3,firm4
350,4,3,firm27
351,4,3,firm58
352,6,3,firm89
353,4,3,firm22
354,2,3,firm53
355,6,3,firm84
356,4,3,firm1
357,6,3,firm32
358,6,3,firm71
359,6,3,firm19
360,6,3,firm50
361,4,3,firm81
362,0,3,firm14
363,2,3,firm45
364,3,3,firm76
365,6,3,firm99
366,4,3,firm24
367,4,3,firm63
368,6,3,firm94
369,2,3,firm11
370,6,3,firm42
371,6,3,firm73
372,4,3,firm6
373,3,3,firm37
374,6,3,firm68
375,4,3,firm91
376,4,3,firm16
377,6,3,firm55
378,2,3,firm86
379,0,3,firm3
380,2,3,firm34
381,6,3,firm65
382,4,3,firm96
383,6,3,firm29
384,3,3,firm60
385,4,3,firm83
386,4,3,firm8
387,6,3,firm47
388,6,3,firm78
389,6,3,firm26
390,4,3,firm57
391,2,3,firm88
392,0,3,firm21
393,4,3,firm52
394,4,3,firm75
395,2,3,firm0
396,6,3,firm39
397,6,3,firm70
398,6,3,firm18
399,6,3,firm49
400,2,3,firm80
401,3,4,firm13
402,7,4,firm44
403,5,4,firm67
404,3,4,firm98
405,7,4,firm31
406,7,4,firm62
407,3,4,firm93
408,7,4,firm10
409,5,4,firm41
410,5,4,firm72
411,1,4,firm5
412,7,4,firm36
413,7,4,firm59
414,3,4,firm90
415,7,4,firm23
416,5,4,firm54
417,5,4,firm85
418,4,4,firm2
419,3,4,firm33
420,7,4,firm64
421,1,4,firm28
422,3,4,firm51
423,3,4,firm82
424,5,4,firm15
425,7,4,firm46
426,3,4,firm77
427,7,4,firm25
428,5,4,firm56
429,3,4,firm95
430,7,4,firm20
431,2,4,firm43
432,3,4,firm74
433,7,4,firm7
434,3,4,firm38
435,7,4,firm69
436,5,4,firm17
437,7,4,firm48
438,7,4,firm87
439,3,4,firm12
440,7,4,firm35
441,5,4,firm66
442,7,4,firm97
443,3,4,firm30
444,2,4,firm61
445,5,4,firm92
446,5,4,firm9
447,4,4,firm40
448,7,4,firm79
449,7,4,firm4
450,5,4,firm27
451,3,4,firm58
452,7,4,firm89
453,5,4,firm22
454,1,4,firm53
455,5,4,firm84
456,5,4,firm1
457,7,4,firm32
458,7,4,firm71
459,7,4,firm19
460,7,4,firm50
461,5,4,firm81
462,2,4,firm14
463,3,4,firm45
464,4,4,firm76
465,7,4,firm99
466,5,4,firm24
467,5,4,firm63
468,7,4,firm94
469,1,4,firm11
470,7,4,firm42
471,7,4,firm73
472,5,4,firm6
473,4,4,firm37
474,7,4,firm68
475,5,4,firm91
476,3,4,firm16
477,7,4,firm55
478,1,4,firm86
479,0,4,firm3
480,3,4,firm34
481,7,4,firm65
482,5,4,firm96
483,7,4,firm29
484,2,4,firm60
485,3,4,firm83
486,3,4,firm8
487,7,4,firm47
488,7,4,firm78
489,7,4,firm26
490,5,4,firm57
491,3,4,firm88
492,0,4,firm21
493,5,4,firm52
494,5,4,firm75
495,1,4,firm0
496,7,4,firm39
497,7,4,firm70
498,7,4,firm18
499,7,4,firm49
500,1,4,firm80
501,4,5,firm13
502,8,5,firm44
503,6,5,firm67
504,4,5,firm98
505,8,5,firm31
506,6,5,firm62
507,4,5,firm93
508,8,5,firm10
509,6,5,firm41
510,6,5,firm72
511,2,5,firm5
512,8,5,firm36
513,8,5,firm59
514,4,5,firm90
515,8,5,firm23
516,6,5,firm54
517,6,5,firm85
518,3,5,firm2
519,4,5,firm33
520,8,5,firm64
521,0,5,firm28
522,4,5,firm51
523,4,5,firm82
524,6,5,firm15
525,8,5,firm46
526,4,5,firm77
527,6,5,firm25
528,6,5,firm56
529,4,5,firm95
530,6,5,firm20
531,3,5,firm43
532,2,5,firm74
533,8,5,firm7
534,2,5,firm38
535,6,5,firm69
536,6,5,firm17
537,8,5,firm48
538,8,5,firm87
539,2,5,firm12
540,8,5,firm35
541,6,5,firm66
542,8,5,firm97
543,4,5,firm30
544,3,5,firm61
545,6,5,firm92
546,6,5,firm9
547,5,5,firm40
548,8,5,firm79
549,8,5,firm4
550,6,5,firm27
551,2,5,firm58
552,8,5,firm89
553,6,5,firm22
554,2,5,firm53
555,6,5,firm84
556,6,5,firm1
557,8,5,firm32
558,8,5,firm71
559,6,5,firm19
560,8,5,firm50
561,6,5,firm81
562,1,5,firm14
563,4,5,firm45
564,5,5,firm76
565,8,5,firm99
566,4,5,firm24
567,6,5,firm63
568,8,5,firm94
569,0,5,firm11
570,8,5,firm42
571,8,5,firm73
572,6,5,firm6
573,5,5,firm37
574,8,5,firm68
575,6,5,firm91
576,4,5,firm16
577,8,5,firm55
578,2,5,firm86
579,0,5,firm3
580,4,5,firm34
581,8,5,firm65
582,6,5,firm96
583,6,5,firm29
584,3,5,firm60
585,2,5,firm83
586,2,5,firm8
587,8,5,firm47
588,8,5,firm78
589,8,5,firm26
590,6,5,firm57
591,4,5,firm88
592,2,5,firm21
593,4,5,firm52
594,6,5,firm75
595,0,5,firm0
596,8,5,firm39
597,8,5,firm70
598,6,5,firm18
599,8,5,firm49
600,2,5,firm80
601,5,6,firm13
602,9,6,firm44
603,7,6,firm67
604,5,6,firm98
605,9,6,firm31
606,5,6,firm62
607,5,6,firm93
608,9,6,firm10
609,7,6,firm41
610,7,6,firm72
611,3,6,firm5
612,7,6,firm36
613,9,6,firm59
614,3,6,firm90
615,7,6,firm23
616,7,6,firm54
617,7,6,firm85
618,2,6,firm2
619,3,6,firm33
620,9,6,firm64
621,2,6,firm28
622,5,6,firm51
623,5,6,firm82
624,7,6,firm15
625,9,6,firm46
626,5,6,firm77
627,7,6,firm25
628,7,6,firm56
629,5,6,firm95
630,5,6,firm20
631,4,6,firm43
632,3,6,firm74
633,9,6,firm7
634,3,6,firm38
635,5,6,firm69
636,7,6,firm17
637,9,6,firm48
638,9,6,firm87
639,3,6,firm12
640,9,6,firm35
641,7,6,firm66
642,9,6,firm97
643,5,6,firm30
644,4,6,firm61
645,7,6,firm92
646,7,6,firm9
647,6,6,firm40
648,9,6,firm79
649,9,6,firm4
650,7,6,firm27
651,3,6,firm58
652,9,6,firm89
653,7,6,firm22
654,3,6,firm53
655,7,6,firm84
656,7,6,firm1
657,9,6,firm32
658,9,6,firm71
659,7,6,firm19
660,9,6,firm50
661,7,6,firm81
662,2,6,firm14
663,5,6,firm45
664,6,6,firm76
665,9,6,firm99
666,5,6,firm24
667,7,6,firm63
668,9,6,firm94
669,0,6,firm11
670,9,6,firm42
671,9,6,firm73
672,7,6,firm6
673,6,6,firm37
674,9,6,firm68
675,7,6,firm91
676,5,6,firm16
677,9,6,firm55
678,1,6,firm86
679,2,6,firm3
680,5,6,firm34
681,9,6,firm65
682,7,6,firm96
683,5,6,firm29
684,4,6,firm60
685,3,6,firm83
686,1,6,firm8
687,9,6,firm47
688,7,6,firm78
689,9,6,firm26
690,7,6,firm57
691,5,6,firm88
692,3,6,firm21
693,3,6,firm52
694,5,6,firm75
695,2,6,firm0
696,9,6,firm39
697,9,6,firm70
698,5,6,firm18
699,7,6,firm49
700,1,6,firm80
701,6,7,firm13
702,10,7,firm44
703,6,7,firm67
704,6,7,firm98
705,10,7,firm31
706,6,7,firm62
707,6,7,firm93
708,10,7,firm10
709,8,7,firm41
710,8,7,firm72
711,4,7,firm5
712,6,7,firm36
713,10,7,firm59
714,4,7,firm90
715,6,7,firm23
716,8,7,firm54
717,8,7,firm85
718,3,7,firm2
719,4,7,firm33
720,10,7,firm64
721,3,7,firm28
722,6,7,firm51
723,6,7,firm82
724,8,7,firm15
725,10,7,firm46
726,6,7,firm77
727,8,7,firm25
728,8,7,firm56
