index,consumption_good,round,name,HH_
1,3,0,household26,3
2,0,0,household85,0
3,1,0,household59,1
4,2,0,household23,2
5,0,0,household66,0
6,4,0,household40,4
7,0,0,household99,0
8,0,0,household4,0
9,1,0,household37,1
10,1,0,household80,1
11,1,0,household18,1
12,0,0,household77,0
13,0,0,household51,0
14,1,0,household15,1
15,1,0,household32,1
16,1,0,household91,1
17,1,0,household29,1
18,1,0,household72,1
19,2,0,household62,2
20,0,0,household10,0
21,0,0,household69,0
22,2,0,household43,2
23,1,0,household7,1
24,0,0,household24,0
25,0,0,household83,0
26,0,0,household57,0
27,0,0,household21,0
28,2,0,household64,2
29,0,0,household54,0
30,2,0,household97,2
31,0,0,household2,0
32,1,0,household35,1
33,2,0,household94,2
34,1,0,household16,1
35,1,0,household75,1
36,1,0,household49,1
37,0,0,household13,0
38,2,0,household46,2
39,1,0,household89,1
40,0,0,household27,0
41,2,0,household86,2
42,2,0,household60,2
43,0,0,household8,0
44,0,0,household67,0
45,1,0,household41,1
46,1,0,household5,1
47,0,0,household38,0
48,2,0,household81,2
49,1,0,household19,1
50,2,0,household78,2
51,0,0,household52,0
52,2,0,household0,2
53,0,0,household33,0
54,0,0,household92,0
55,0,0,household30,0
56,0,0,household73,0
57,1,0,household63,1
58,0,0,household11,0
59,1,0,household70,1
60,1,0,household44,1
61,1,0,household25,1
62,4,0,household84,4
63,0,0,household58,0
64,1,0,household22,1
65,2,0,household65,2
66,2,0,household55,2
67,1,0,household98,1
68,0,0,household3,0
69,1,0,household36,1
70,3,0,household95,3
71,1,0,household17,1
72,2,0,household76,2
73,0,0,household50,0
74,1,0,household14,1
75,1,0,household47,1
76,0,0,household90,0
77,0,0,household28,0
78,1,0,household87,1
79,1,0,household61,1
80,1,0,household9,1
81,3,0,household68,3
82,2,0,household42,2
83,0,0,household6,0
84,1,0,household39,1
85,0,0,household82,0
86,1,0,household56,1
87,1,0,household20,1
88,1,0,household79,1
89,0,0,household53,0
90,0,0,household96,0
91,0,0,household1,0
92,1,0,household34,1
93,2,0,household93,2
94,0,0,household31,0
95,1,0,household74,1
96,5,0,household48,5
97,1,0,household12,1
98,3,0,household71,3
99,3,0,household45,3
100,0,0,household88,0
101,1,1,household26,4
102,3,1,household85,3
103,3,1,household59,4
104,2,1,household23,4
105,1,1,household66,1
106,0,1,household40,4
107,0,1,household99,0
108,1,1,household4,1
109,1,1,household37,2
110,1,1,household80,2
111,1,1,household18,2
112,1,1,household77,1
113,2,1,household51,2
114,1,1,household15,2
115,0,1,household32,1
116,0,1,household91,1
117,1,1,household29,2
118,0,1,household72,1
119,0,1,household62,2
120,1,1,household10,1
121,0,1,household69,0
122,0,1,household43,2
123,1,1,household7,2
124,0,1,household24,0
125,1,1,household83,1
126,1,1,household57,1
127,1,1,household21,1
128,1,1,household64,3
129,0,1,household54,0
130,1,1,household97,3
131,1,1,household2,1
132,1,1,household35,2
133,0,1,household94,2
134,1,1,household16,2
135,0,1,household75,1
136,1,1,household49,2
137,1,1,household13,1
138,0,1,household46,2
139,0,1,household89,1
140,3,1,household27,3
141,1,1,household86,3
142,1,1,household60,3
143,1,1,household8,1
144,3,1,household67,3
145,0,1,household41,1
146,3,1,household5,4
147,1,1,household38,1
148,0,1,household81,2
149,3,1,household19,4
150,0,1,household78,2
151,0,1,household52,0
152,0,1,household0,2
153,0,1,household33,0
154,0,1,household92,0
155,2,1,household30,2
156,2,1,household73,2
157,0,1,household63,1
158,0,1,household11,0
159,1,1,household70,2
160,0,1,household44,1
161,0,1,household25,1
162,2,1,household84,6
163,2,1,household58,2
164,0,1,household22,1
165,2,1,household65,4
166,1,1,household55,3
167,1,1,household98,2
168,1,1,household3,1
169,0,1,household36,1
170,1,1,household95,4
171,1,1,household17,2
172,2,1,household76,4
173,3,1,household50,3
174,0,1,household14,1
175,0,1,household47,1
176,3,1,household90,3
177,0,1,household28,0
178,0,1,household87,1
179,2,1,household61,3
180,0,1,household9,1
181,1,1,household68,4
182,2,1,household42,4
183,0,1,household6,0
184,0,1,household39,1
185,0,1,household82,0
186,1,1,household56,2
187,0,1,household20,1
188,2,1,household79,3
189,0,1,household53,0
190,1,1,household96,1
191,1,1,household1,1
192,0,1,household34,1
193,1,1,household93,3
194,2,1,household31,2
195,1,1,household74,2
196,2,1,household48,7
197,2,1,household12,3
198,0,1,household71,3
199,1,1,household45,4
200,1,1,household88,1
201,1,2,household26,5
202,0,2,household85,3
203,2,2,household59,6
204,0,2,household23,4
205,2,2,household66,3
206,1,2,household40,5
207,0,2,household99,0
208,2,2,household4,3
209,1,2,household37,3
210,3,2,household80,5
211,2,2,household18,4
212,1,2,household77,2
213,2,2,household51,4
214,1,2,household15,3
215,2,2,household32,3
216,1,2,household91,2
217,4,2,household29,6
218,4,2,household72,5
219,0,2,household62,2
220,0,2,household10,1
221,1,2,household69,1
222,2,2,household43,4
223,1,2,household7,3
224,3,2,household24,3
225,2,2,household83,3
226,1,2,household57,2
227,0,2,household21,1
228,0,2,household64,3
229,1,2,household54,1
230,0,2,household97,3
